complemento/valorTotal,dets/0/prod/qCom,dets/0/prod/uCom,dets/0/prod/vProd,dets/0/prod/vUnCom,dets/0/prod/xProd,dets/1/prod/qCom,dets/1/prod/uCom,dets/1/prod/vProd,dets/1/prod/vUnCom,dets/1/prod/xProd,ide/dhEmi/$date,infAdic/infCpl,total/icmsTot/vDesc,total/icmsTot/vProd,total/icmsTot/vTotTrib,total/icmsTot/vnf,dets/2/prod/qCom,dets/2/prod/vProd,dets/2/prod/vUnCom,dets/2/prod/xProd,dets/3/prod/qCom,dets/3/prod/vProd,dets/3/prod/vUnCom,dets/3/prod/xProd,dets/4/prod/qCom,dets/4/prod/vProd
36.46,1,UN,4.5,4.5,SUCO,466,KG,31.96,68.6,BUFFET,2016-01-05T12:35:45.000Z,Mesa 17,0,36.46,1.53,36.46,,,,,,,,,,
27.13,0.33,KG,22.63,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T12:38:39.000Z,Mesa 33,0,27.13,3.05,27.13,,,,,,,,,,
26.65,1,UN,1,1,CHA,374,KG,25.65,68.6,BUFFET,2016-01-05T12:40:43.000Z,Mesa 26,0,26.65,1.55,26.65,,,,,,,,,,
30.59,446,KG,30.59,68.6,BUFFET,,,,,,2016-01-05T12:43:22.000Z,Mesa 18,0,30.59,1.29,30.59,,,,,,,,,,
33.99,0.43,KG,29.49,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-05T12:43:58.000Z,Mesa 19,0,33.99,3.34,33.99,,,,,,,,,,
21.71,1,UN,1,1,CHA,302,KG,20.71,68.6,BUFFET,2016-01-05T12:45:28.000Z,Mesa 23,0,21.71,1.34,21.71,,,,,,,,,,
32.35,1,UN,3.5,3.5,AGUA,1,UN,1,1,CHA,2016-01-05T12:46:02.000Z,Mesa 24,0,32.35,3.27,32.35,406,27.85,68.6,BUFFET,,,,,,
23.77,1,UN,1,1,CHA,332,KG,22.77,68.6,BUFFET,2016-01-05T12:46:49.000Z,Mesa 22,0,23.77,1.43,23.77,,,,,,,,,,
23.46,342,KG,23.46,68.6,BUFFET,,,,,,2016-01-05T12:47:35.000Z,Mesa 47,0,23.46,0.99,23.46,,,,,,,,,,
62.36,1,UN,4.5,4.5,LIMONADA,778,KG,53.37,68.6,BUFFET,2016-01-05T12:48:19.000Z,Mesa 51,0,62.37,4.53,62.37,1,4.5,4.5,REFRIGERANTE,,,,,,
29.97,1,UN,3.5,3.5,AGUA,386,KG,26.47,68.6,BUFFET,2016-01-05T12:49:12.000Z,Mesa 40,0,29.97,2.74,29.97,,,,,,,,,,
47.3,624,KG,42.8,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T12:52:50.000Z,Mesa 71,0,47.3,3.9,47.3,,,,,,,,,,
39.13,1,UN,1,1,CHA,556,KG,38.14,68.6,BUFFET,2016-01-05T12:55:15.000Z,Mesa 68,0,39.14,2.07,39.14,,,,,,,,,,
34.27,434,KG,29.77,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T12:56:10.000Z,Mesa 21,0,34.27,3.35,34.27,,,,,,,,,,
22.22,324,KG,22.22,68.6,BUFFET,,,,,,2016-01-05T12:57:05.000Z,Mesa 60,0,22.22,0.93,22.22,,,,,,,,,,
39.17,1,UN,3.5,3.5,AGUA,0.52,KG,35.67,68.6,BUFFET,2016-01-05T13:00:18.000Z,Mesa 37,0,39.17,3.13,39.17,,,,,,,,,,
27.16,396,KG,27.16,68.6,BUFFET,,,,,,2016-01-05T13:06:13.000Z,Mesa 61,0,27.16,1.14,27.16,,,,,,,,,,
45.01,544,KG,37.31,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:06:38.000Z,Mesa 59,0,45.01,5.16,45.01,1,3.2,3.2,DOCINHOS,,,,,,
44.83,588,KG,40.33,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:07:07.000Z,Mesa 56,0,44.83,3.79,44.83,,,,,,,,,,
62.08,1,UN,3.5,3.5,AGUA,854,KG,58.58,68.6,BUFFET,2016-01-05T13:08:13.000Z,Mesa 72,0,62.08,4.09,62.08,,,,,,,,,,
22.5,328,KG,22.5,68.6,BUFFET,,,,,,2016-01-05T13:10:26.000Z,Mesa 75,0,22.5,0.95,22.5,,,,,,,,,,
14.26,208,KG,14.26,68.6,BUFFET,,,,,,2016-01-05T13:11:24.000Z,Mesa 53,0,14.26,0.6,14.26,,,,,,,,,,
27.98,408,KG,27.98,68.6,BUFFET,,,,,,2016-01-05T13:12:13.000Z,Mesa 83,0,27.98,1.18,27.98,,,,,,,,,,
25.38,0.37,KG,25.38,68.6,BUFFET,,,,,,2016-01-05T13:12:51.000Z,Mesa 90,0,25.38,1.07,25.38,,,,,,,,,,
16.46,0.24,KG,16.46,68.6,BUFFET,,,,,,2016-01-05T13:13:11.000Z,Mesa 28,0,16.46,0.69,16.46,,,,,,,,,,
27.13,0.33,KG,22.63,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:13:19.000Z,Mesa 30,0,27.13,3.05,27.13,,,,,,,,,,
32.1,468,KG,32.1,68.6,BUFFET,,,,,,2016-01-05T13:13:28.000Z,Mesa 35,0,32.1,1.35,32.1,,,,,,,,,,
94.94,1,UN,4.5,4.5,SUCO,1,UN,3.5,3.5,AGUA,2016-01-05T13:14:24.000Z,Mesa 63,0,94.95,7.38,94.95,1202,82.45,68.6,BUFFET,1,4.5,4.5,REFRIGERANTE,,
35.04,1,UN,3.5,3.5,AGUA,0.46,KG,31.55,68.6,BUFFET,2016-01-05T13:15:06.000Z,Mesa 36,0,35.05,2.96,35.05,,,,,,,,,,
20.58,0.3,KG,20.58,68.6,BUFFET,,,,,,2016-01-05T13:15:54.000Z,Mesa 57,0,20.58,0.86,20.58,,,,,,,,,,
34.54,438,KG,30.04,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:16:04.000Z,Mesa 58,0,34.54,3.36,34.54,,,,,,,,,,
67.53,1,UN,3.5,3.5,AGUA,868,KG,59.54,68.6,BUFFET,2016-01-05T13:16:40.000Z,Mesa 66,0,67.54,6.23,67.54,1,4.5,4.5,REFRIGERANTE,,,,,,
72.13,986,KG,67.63,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:16:51.000Z,Mesa 43,0,72.13,4.94,72.13,,,,,,,,,,
32.51,474,KG,32.51,68.6,BUFFET,,,,,,2016-01-05T13:17:02.000Z,Mesa 41,0,32.51,1.37,32.51,,,,,,,,,,
30.87,0.45,KG,30.87,68.6,BUFFET,,,,,,2016-01-05T13:17:13.000Z,Mesa 29,0,30.87,1.3,30.87,,,,,,,,,,
28.88,1,UN,3.5,3.5,AGUA,0.37,KG,25.38,68.6,BUFFET,2016-01-05T13:17:29.000Z,Mesa 38,0,28.88,2.7,28.88,,,,,,,,,,
28.09,344,KG,23.59,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:24:31.000Z,Mesa 87,0,28.09,3.09,28.09,,,,,,,,,,
21.37,1,UN,4.5,4.5,SUCO,246,KG,16.87,68.6,BUFFET,2016-01-05T13:25:08.000Z,Mesa 88,0,21.37,0.9,21.37,,,,,,,,,,
24.39,1,UN,4.5,4.5,LIMONADA,0.29,KG,19.89,68.6,BUFFET,2016-01-05T13:26:17.000Z,Mesa 82,0,24.39,1.03,24.39,,,,,,,,,,
23.15,272,KG,18.65,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:27:34.000Z,Mesa 86,0,23.15,2.88,23.15,,,,,,,,,,
34.4,436,KG,29.9,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:28:01.000Z,Mesa 84,0,34.4,3.36,34.4,,,,,,,,,,
37.29,478,KG,32.79,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:28:38.000Z,Mesa 85,0,37.29,3.48,37.29,,,,,,,,,,
64.11,1,UN,4.5,4.5,SUCO,0.77,KG,52.82,68.6,BUFFET,2016-01-05T13:32:21.000Z,Mesa 92,0,64.12,2.7,64.12,1,6.8,6.8,HARUMAKI,,,,,,
20.71,302,KG,20.71,68.6,BUFFET,,,,,,2016-01-05T13:33:44.000Z,Mesa 81,0,20.71,0.87,20.71,,,,,,,,,,
31.32,1,UN,3.5,3.5,CAFE EXPRESSO,0.34,KG,23.32,68.6,BUFFET,2016-01-05T13:34:39.000Z,Mesa 80,0,31.32,2.8,31.32,1,4.5,4.5,SUCO,,,,,,
46,1,UN,3.5,3.5,CAFE EXPRESSO,554,KG,38,68.6,BUFFET,2016-01-05T13:35:19.000Z,Mesa 76,0,46,5.33,46,1,4.5,4.5,REFRIGERANTE,,,,,,
27.54,336,KG,23.04,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:35:46.000Z,Mesa 77,0,27.54,3.07,27.54,,,,,,,,,,
37.36,1,UN,3.5,3.5,AGUA,428,KG,29.36,68.6,BUFFET,2016-01-05T13:36:28.000Z,Mesa 78,0,37.36,4.96,37.36,1,4.5,4.5,REFRIGERANTE,,,,,,
56.6,694,KG,47.6,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T13:37:14.000Z,Mesa 91,0,56.6,6.2,56.6,1,4.5,4.5,REFRIGERANTE,,,,,,
53.29,1,UN,3.5,3.5,AGUA,2,UN,7,3.5,CAFE EXPRESSO,2016-01-05T13:42:33.000Z,Mesa 64,0,53.3,6.7,53.3,624,42.8,68.6,BUFFET,,,,,,
55.7,812,KG,55.7,68.6,BUFFET,,,,,,2016-01-05T13:46:40.000Z,Mesa 95,0,55.7,2.34,55.7,,,,,,,,,,
89.69,1,UN,3.5,3.5,AGUA,1.06,KG,72.71,68.6,BUFFET,2016-01-05T13:56:23.000Z,Mesa 99,0,89.71,9.07,89.71,1,4.5,4.5,REFRIGERANTE,1,4.5,4.5,CERVEJA,1,4.5
73.49,1006,KG,69.01,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T14:01:27.000Z,Mesa 96,0,73.51,5,73.51,,,,,,,,,,
17.12,184,KG,12.62,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T14:05:05.000Z,Mesa 46,0,17.12,2.63,17.12,,,,,,,,,,
40.57,472,KG,32.37,68.6,BUFFET,1,UN,8.2,8.2,BULE CHA,2016-01-05T14:08:43.000Z,Mesa 42,0,40.57,1.7,40.57,,,,,,,,,,
36.04,406,KG,27.85,68.6,BUFFET,1,UN,8.2,8.2,BULE CHA,2016-01-05T14:08:56.000Z,Mesa 44,0,36.05,1.51,36.05,,,,,,,,,,
69.21,1,UN,4.5,4.5,SUCO,824,KG,56.52,68.6,BUFFET,2016-01-05T14:09:04.000Z,Mesa 25,0,69.22,2.9,69.22,1,8.2,8.2,BULE CHA,,,,,,
105.63,2,UN,9,4.5,SUCO,1,UN,3.5,3.5,AGUA,2016-01-05T18:59:11.000Z,Mesa 1,0,105.65,5.92,105.65,1358,93.15,68.6,BUFFET,,,,,,
51.68,688,KG,47.19,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T19:13:33.000Z,Mesa 2,0,51.69,4.08,51.69,,,,,,,,,,
37.14,476,KG,32.65,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T19:25:55.000Z,Mesa 4,0,37.15,3.47,37.15,,,,,,,,,,
24.83,362,KG,24.83,68.6,BUFFET,,,,,,2016-01-05T19:49:34.000Z,Mesa 14,0,24.83,1.04,24.83,,,,,,,,,,
137.28,1,UN,3.5,3.5,AGUA,1754,KG,120.32,68.6,BUFFET,2016-01-05T19:53:29.000Z,Mesa 3,0,137.32,11.07,137.32,1,4.5,4.5,REFRIGERANTE,1,4.5,4.5,REFRIGERANTE,1,4.5
44.92,0.48,KG,32.71,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-05T19:58:24.000Z,Mesa 15,0,44.92,6.87,29.51,1,3.2,3.2,DOCINHOS,,,,,,
116.68,1,UN,3.5,3.5,AGUA,1.65,KG,113.19,68.6,BUFFET,2016-01-05T20:06:31.000Z,Mesa 7,0,116.69,6.38,116.69,,,,,,,,,,
13.44,196,KG,13.44,68.6,BUFFET,,,,,,2016-01-05T20:16:12.000Z,Mesa 22,0,13.44,0.56,13.44,,,,,,,,,,
24.42,356,KG,24.42,68.6,BUFFET,,,,,,2016-01-05T20:22:57.000Z,Mesa 17,0,24.42,1.03,24.42,,,,,,,,,,
51.41,684,KG,46.92,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T20:36:46.000Z,Mesa 16,0,51.42,4.07,51.42,,,,,,,,,,
56.07,752,KG,51.58,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T20:38:57.000Z,Mesa 24,0,56.08,4.27,56.08,,,,,,,,,,
43.79,1,UN,12,12,TEMAKI,1,UN,4.5,4.5,LIMONADA,2016-01-05T20:41:29.000Z,Mesa 28,0,43.8,1.84,43.8,398,27.3,68.6,BUFFET,,,,,,
50.18,666,KG,45.68,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T20:45:51.000Z,Mesa 27,0,50.18,4.02,50.18,,,,,,,,,,
63.21,856,KG,58.72,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-05T20:54:28.000Z,Mesa 18,0,63.22,4.57,63.22,,,,,,,,,,
13.17,192,KG,13.17,68.6,BUFFET,,,,,,2016-01-05T21:03:07.000Z,Mesa 30,0,13.17,0.55,13.17,,,,,,,,,,
19.61,286,KG,19.61,68.6,BUFFET,,,,,,2016-01-05T21:03:41.000Z,Mesa 33,0,19.61,0.82,19.61,,,,,,,,,,
30.97,386,KG,26.47,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T21:04:25.000Z,Mesa 40,0,30.97,3.21,30.97,,,,,,,,,,
106.74,1,UN,4.5,4.5,LIMONADA,1,UN,15,15,SAKE,2016-01-05T21:07:13.000Z,Mesa 11,0,106.76,13.25,77.67,1.27,87.26,68.6,BUFFET,,,,,,
40.38,1,UN,15,15,SAKE,0.37,KG,25.38,68.6,BUFFET,2016-01-05T21:08:49.000Z,Mesa 10,0,40.38,8.08,40.38,,,,,,,,,,
80.06,2,UN,30,15,SAKE,0.73,KG,50.07,68.6,BUFFET,2016-01-05T21:08:59.000Z,Mesa 9,0,80.07,16.11,80.07,,,,,,,,,,
22.36,326,KG,22.36,68.6,BUFFET,,,,,,2016-01-05T21:11:09.000Z,Mesa 56,0,22.36,0.94,22.36,,,,,,,,,,
39.51,576,KG,39.51,68.6,BUFFET,,,,,,2016-01-05T21:12:25.000Z,Mesa 57,0,39.51,1.66,39.51,,,,,,,,,,
99.63,1,UN,9.8,9.8,CERVEJA LATA,1244,KG,85.33,68.6,BUFFET,2016-01-05T21:20:09.000Z,Mesa 21,0,99.63,10.26,99.63,1,4.5,4.5,REFRIGERANTE,,,,,,
280.21,2,UN,33.6,16.8,WHISKY,5,UN,22.5,4.5,SUCO,2016-01-05T21:28:02.000Z,Mesa 25,0,280.26,39.87,280.26,2794,191.66,68.6,BUFFET,5,32.5,6.5,CERVEJA LATA,,
62.25,842,KG,57.76,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T21:29:32.000Z,Mesa 43,0,62.26,4.53,62.26,,,,,,,,,,
26.72,324,KG,22.22,68.6,BUFFET,1,UN,4.5,4.5,CERVEJA,2016-01-05T21:29:41.000Z,Mesa 42,0,26.72,3.03,26.72,,,,,,,,,,
59.51,802,KG,55.01,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T21:35:03.000Z,Mesa 59,0,59.51,4.41,59.51,,,,,,,,,,
27.96,342,KG,23.46,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T21:36:02.000Z,Mesa 58,0,27.96,3.09,27.96,,,,,,,,,,
34.4,436,KG,29.9,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T21:36:11.000Z,Mesa 70,0,34.4,3.36,34.4,,,,,,,,,,
30.04,438,KG,30.04,68.6,BUFFET,,,,,,2016-01-05T21:36:20.000Z,Mesa 69,0,30.04,1.26,30.04,,,,,,,,,,
71.44,976,KG,66.95,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T21:40:59.000Z,Mesa 44,0,71.45,4.91,71.45,,,,,,,,,,
142.99,1,UN,21.6,21.6,SUSHI ESPECIAL,1,UN,76.8,76.8,SUSHI ESPECIAL,2016-01-05T21:41:09.000Z,Mesa 29,0,142.99,19.96,142.99,1,3.5,3.5,AGUA,1,1,1,CHA,1,3.5
112.35,2,UN,7,3.5,AGUA,1536,KG,105.36,68.6,BUFFET,2016-01-05T21:51:04.000Z,Mesa 51,0,112.36,7.7,112.36,,,,,,,,,,
29.86,1,UN,4.9,4.9,SUCO,364,KG,24.97,68.6,BUFFET,2016-01-05T21:51:46.000Z,Mesa 23,0,29.87,3.34,29.87,,,,,,,,,,
61.49,1,UN,1,1,CHA,882,KG,60.5,68.6,BUFFET,2016-01-05T21:52:48.000Z,Mesa 75,0,61.5,3.01,61.5,,,,,,,,,,
95.54,1262,KG,86.57,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-05T21:57:54.000Z,Mesa 60,0,95.57,7.84,95.57,,,,,,,,,,
69.35,632,KG,43.35,68.6,BUFFET,4,UN,26,6.5,CERVEJA LATA,2016-01-05T22:03:13.000Z,Mesa 35,0,69.35,13.96,69.35,,,,,,,,,,
116.26,1498,KG,102.76,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-05T22:06:09.000Z,Mesa 68,0,116.26,8.71,116.26,1,4.5,4.5,SUCO,,,,,,
43.09,344,KG,23.59,68.6,BUFFET,3,UN,19.5,6.5,CERVEJA LATA,2016-01-05T22:07:21.000Z,Mesa 38,0,43.09,10.1,43.09,,,,,,,,,,
104.57,1,UN,4.5,4.5,SUCO,1,UN,3.5,3.5,AGUA,2016-01-05T22:08:12.000Z,Mesa 64,0,104.58,5.88,104.58,1408,96.58,68.6,BUFFET,,,,,,
115.23,2,UN,9,4.5,SUCO,1,UN,4.9,4.9,SUCO,2016-01-05T22:08:28.000Z,Mesa 55,0,115.26,8.84,115.26,1412,96.86,68.6,BUFFET,1,4.5,4.5,REFRIGERANTE,,
39.48,0.51,KG,34.98,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T22:08:38.000Z,Mesa 37,0,39.48,3.57,39.48,,,,,,,,,,
51.41,684,KG,46.92,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T22:08:52.000Z,Mesa 36,0,51.42,4.07,51.42,,,,,,,,,,
50.97,612,KG,41.98,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-05T22:11:51.000Z,Mesa 67,0,50.98,5.96,50.98,,,,,,,,,,
35.67,0.52,KG,35.67,68.6,BUFFET,,,,,,2016-01-05T22:12:45.000Z,Mesa 76,0,35.67,1.5,35.67,,,,,,,,,,
44,576,KG,39.51,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T22:13:35.000Z,Mesa 77,0,44.01,3.76,44.01,,,,,,,,,,
187.07,2,UN,7,3.5,AGUA,2.56,KG,175.61,68.6,BUFFET,2016-01-05T22:14:48.000Z,Mesa 72,0,187.11,12.75,187.11,1,4.5,4.5,REFRIGERANTE,,,,,,
32.06,402,KG,27.57,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T22:15:31.000Z,Mesa 66,0,32.07,3.26,32.07,,,,,,,,,,
212.91,1,UN,3.5,3.5,AGUA,2,UN,7,3.5,AGUA,2016-01-05T22:17:38.000Z,Mesa 71,0,212.95,17.22,212.95,2.82,193.45,68.6,BUFFET,1,4.5,4.5,REFRIGERANTE,1,4.5
232.38,1,UN,21.6,21.6,SASHIMI,3,UN,13.5,4.5,LIMONADA,2016-01-05T22:18:55.000Z,Mesa 61,0,232.4,18.69,232.4,2,12,6,CERVEJA LATA,2.57,176.3,68.6,BUFFET,2,9
65.64,826,KG,56.66,68.6,BUFFET,2,UN,9,4.5,CERVEJA,2016-01-05T22:21:46.000Z,Mesa 81,0,65.66,6.58,65.66,,,,,,,,,,
22.15,1,UN,3.5,3.5,AGUA,272,KG,18.65,68.6,BUFFET,2016-01-05T22:24:07.000Z,Mesa 84,0,22.15,2.41,22.15,,,,,,,,,,
104.2,1388,KG,95.21,68.6,BUFFET,2,UN,9,4.5,REFRIGERANTE,2016-01-05T22:26:13.000Z,Mesa 80,0,104.21,8.2,104.21,,,,,,,,,,
91.28,1,UN,4.5,4.5,LIMONADA,2,UN,30,15,CAIPIROSKA,2016-01-05T22:27:58.000Z,Mesa 46,0,91.3,16.59,91.3,828,56.8,68.6,BUFFET,,,,,,
32.62,0.41,KG,28.12,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T22:40:12.000Z,Mesa 82,0,32.62,3.28,32.62,,,,,,,,,,
45.24,594,KG,40.74,68.6,BUFFET,1,UN,4.5,4.5,REFRIGERANTE,2016-01-05T22:40:38.000Z,Mesa 83,0,45.24,3.81,45.24,,,,,,,,,,
80.42,3,UN,10.5,3.5,AGUA,1,UN,1,1,CHA,2016-01-06T12:09:30.000Z,Mesa 1,0,80.42,8.15,64.42,808,55.42,68.6,BUFFET,3,13.5,4.5,REFRIGERANTE,,
31.62,3,UN,10.5,3.5,AGUA,308,KG,21.12,68.6,BUFFET,2016-01-06T12:12:36.000Z,Mesa 3,0,31.62,3.24,24.62,,,,,,,,,,
29.84,3,UN,10.5,3.5,AGUA,282,KG,19.34,68.6,BUFFET,2016-01-06T12:12:42.000Z,Mesa 2,0,29.84,3.19,22.84,,,,,,,,,,
31.9,3,UN,10.5,3.5,AGUA,312,KG,21.4,68.6,BUFFET,2016-01-06T12:12:49.000Z,Mesa 4,0,31.9,3.24,24.9,,,,,,,,,,
13.98,0.2,KG,13.98,68.6,BUFFET,,,,,,2016-01-06T12:14:02.000Z,Mesa 13,0,13.98,0.59,9.32,,,,,,,,,,
29.26,0.38,KG,26.06,68.6,BUFFET,1,UN,3.2,3.2,DOCINHOS,2016-01-06T12:21:07.000Z,Mesa 23,0,29.26,2.58,29.26,,,,,,,,,,
22.54,1,UN,1,1,CHA,314,KG,21.54,68.6,BUFFET,2016-01-06T12:30:06.000Z,Mesa 27,0,22.54,1.37,22.54,,,,,,,,,,
26.2,382,KG,26.2,68.6,BUFFET,,,,,,2016-01-06T12:31:20.000Z,Mesa 22,0,26.2,1.1,26.2,,,,,,,,,,
20.3,296,KG,20.3,68.6,BUFFET,,,,,,2016-01-06T12:31:41.000Z,Mesa 21,0,20.3,0.85,20.3,,,,,,,,,,
74.11,0.69,KG,47.12,68.6,BUFFET,6,UN,27,4.5,REFRIGERANTE,2016-01-06T12:35:28.000Z,Mesa 11,0,74.11,7.07,35.91,,,,,,,,,,
38.19,0.36,KG,24.69,68.6,BUFFET,3,UN,13.5,4.5,REFRIGERANTE,2016-01-06T12:36:33.000Z,Mesa 8,0,38.19,4.11,29.19,,,,,,,,,,
78.73,3,UN,10.5,3.5,AGUA,798,KG,54.74,68.6,BUFFET,2016-01-06T12:39:50.000Z,Mesa 16,0,78.74,7.56,62.74,3,13.5,4.5,REFRIGERANTE,,,,,,
38.74,368,KG,25.24,68.6,BUFFET,3,UN,13.5,4.5,REFRIGERANTE,2016-01-06T12:40:00.000Z,Mesa 6,0,38.74,4.12,29.74,,,,,,,,,,
84.92,3,UN,10.5,3.5,AGUA,3,UN,10.5,3.5,AGUA,2016-01-06T12:40:07.000Z,Mesa 18,0,84.93,7.13,70.93,932,63.93,68.6,BUFFET,,,,,,
34.09,3,UN,10.5,3.5,AGUA,344,KG,23.59,68.6,BUFFET,2016-01-06T12:40:15.000Z,Mesa 5,0,34.09,3.3,27.09,,,,,,,,,,
34.78,3,UN,10.5,3.5,AGUA,354,KG,24.28,68.6,BUFFET,2016-01-06T12:40:23.000Z,Mesa 10,0,34.78,3.32,27.78,,,,,,,,,,
26.14,3,UN,10.5,3.5,AGUA,228,KG,15.64,68.6,BUFFET,2016-01-06T12:40:30.000Z,Mesa 9,0,26.14,3.13,19.14,,,,,,,,,,
49.08,1,UN,4.5,4.5,LIMONADA,0.65,KG,44.59,68.6,BUFFET,2016-01-06T12:44:40.000Z,Mesa 53,0,49.09,2.06,49.09,,,,,,,,,,
